,,,,,,,,,,,,,,,,,
Qtd Transações,Speedychain c/ Stordy (MB),Speedychain s/ Stordy (MB),Stordy (MB),Disco,Média (ms),Desvio Padrão,Nova transação (ms),Nova transação (ms),Nova transação (ms),Nova transação (ms),Nova transação (ms),Nova transação (ms),Nova transação (ms),Nova transação (ms),Nova transação (ms),Nova transação (ms),Dump
0,"28,2","22,8","30,9",16K,"0,99","0,31","0,41","0,99","1,09","0,81","0,54","1,23","1,15","1,33","1,16","1,15",OK
1024,"28,2","24,7","31,3",136K,"0,82","0,19","0,99","0,80","0,85","0,79","1,11","0,49","0,79","1,00","0,85","0,57",OK
2048,"29,2","26,7",32,280K,"1,25","0,44","0,92","1,35","1,28","1,38","1,84","0,86","1,98","1,12","1,23","0,53",OK
4096,"29,3","30,2","33,1",576K,"1,45","0,19","1,31","1,44","1,31","1,54","1,76","1,46","1,26","1,18","1,70","1,58",OK
8192,"29,3","35,6","36,1","1,2M","1,33","0,37","0,88","1,13","1,15","2,17","1,20","1,11","1,60","1,30","1,55","1,17",OK
16384,"29,4",47,"35,6","3,2M","1,18","0,19","1,00","1,08","1,28","1,31","1,55","0,87","1,22","1,31","1,11","1,08",OK
32768,"29,4","69,5","35,8","4,5M","1,40","0,32","1,09","1,72","0,79","1,58","1,45","1,68","1,18","1,68","1,69","1,15",OK
65536,"29,4","118,6","38,9","8,2M","1,35","0,31","0,78","1,04","1,58","1,40","1,62","1,18","1,44","1,41","1,86","1,22",OK
131072,"29,5","205,7","42,9",14M,"1,31","0,29","1,17","0,83","1,16","1,27","1,04","1,53","1,31","1,39","1,76","1,68",OK
262144,"29,5","399,5",46,31M,"1,11","0,18","0,91","1,00","1,31","1,03","1,43","1,19","1,02","0,89","1,22","1,12",OK
524288,59,"789,8","41,6",61M,"1,05","0,13","0,88","1,03","0,97","1,00","1,25","1,11","0,95","1,04","1,26","0,96",OK
1048576,"29,5","1,5GB","35,1",124M,"0,86","0,17","0,59","0,98","0,76","0,68","0,75","1,16","0,95","1,00","0,85","0,94",OK
2097152,"29,7","3,11GB",37,232M,"0,72","0,07","0,59","0,74","0,72","0,71","0,72","0,83","0,79","0,69","0,69","0,77",OK
4194304,30,"6,10GB",41,500M,"0,82","0,22","0,70","0,72","0,96","0,78","1,41","0,78","0,70","0,68","0,71","0,80",OK
8388608,"30,1","12,54GB",50,"1,1G","0,70","0,13","0,41","0,86","0,74","0,86","0,75","0,63","0,75","0,63","0,73","0,69",OK
16777216,"30,5","25,06","39,5","1,9G","1,06","0,42","0,71","0,99","1,94","1,16","0,81","0,79","1,61","1,16","0,70","0,71",OK
,,,,,,"0,35",,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,0.411987304688ms,0.992059707642ms,1.09386444092ms,0.807046890259ms,0.539064407349ms,1.23000144958ms,1.14893913269ms,1.33395195007ms,1.16300582886ms,1.14989280701ms,
,,,,,,,0.992059707642ms,0.801086425781ms,0.845909118652ms,0.787019729614ms,1.10602378845ms,0.488996505737ms,0.792980194092ms,0.999927520752ms,0.85186958313ms,0.57315826416ms,
,,,,,,,0.917911529541ms,1.35016441345ms,1.27983093262ms,1.37591362ms,1.84297561646ms,0.859975814819ms,1.97887420654ms,1.12199783325ms,1.22594833374ms,0.527858734131ms,
,,,,,,,1.30796432495ms,1.43599510193ms,1.31416320801ms,1.5389919281ms,1.76405906677ms,1.45721435547ms,1.26194953918ms,1.17516517639ms,1.70302391052ms,1.58190727234ms,
,,,,,,,0.883102416992ms,1.12891197205ms,1.14989280701ms,2.17485427856ms,1.20210647583ms,1.11198425293ms,1.60479545593ms,1.30295753479ms,1.54900550842ms,1.17301940918ms,
,,,,,,,1.00493431091ms,1.08098983765ms,1.2788772583ms,1.30891799927ms,1.54995918274ms,0.866174697876ms,1.21998786926ms,1.31487846375ms,1.10721588135ms,1.0838508606ms,
,,,,,,,1.08599662781ms,1.72019004822ms,0.794887542725ms,1.57904624939ms,1.45316123962ms,1.67798995972ms,1.18184089661ms,1.6758441925ms,1.68585777283ms,1.15203857422ms,
,,,,,,,0.781059265137ms,1.04284286499ms,1.57904624939ms,1.39904022217ms,1.61504745483ms,1.18398666382ms,1.44410133362ms,1.40500068665ms,1.85894966125ms,1.21998786926ms,
,,,,,,,1.16991996765ms,0.826120376587ms,1.16205215454ms,1.26600265503ms,1.04188919067ms,1.52611732483ms,1.30701065063ms,1.39379501343ms,1.76191329956ms,1.68085098267ms,
,,,,,,,0.910997390747ms,0.998973846436ms,1.30701065063ms,1.03092193604ms,1.43003463745ms,1.19113922119ms,1.01613998413ms,0.887155532837ms,1.22308731079ms,1.12414360046ms,
,,,,,,,0.875949859619ms,1.02710723877ms,0.97393989563ms,1.00493431091ms,1.25408172607ms,1.10697746277ms,0.95009803772ms,1.03998184204ms,1.26314163208ms,0.958919525146ms,
,,,,,,,0.585079193115ms,0.977993011475ms,0.761032104492ms,0.677108764648ms,0.746011734009ms,1.16300582886ms,0.945806503296ms,0.996828079224ms,0.853061676025ms,0.941038131714ms,
,,,,,,,0.58913230896ms,0.738859176636ms,0.71907043457ms,0.706911087036ms,0.720977783203ms,0.82802772522ms,0.793933868408ms,0.693082809448ms,0.68998336792ms,0.766038894653ms,
,,,,,,,0.701904296875ms,0.723123550415ms,0.964879989624ms,0.775814056396ms,1.41406059265ms,0.781059265137ms,0.695943832397ms,0.676870346069ms,0.710010528564ms,0.795125961304ms,
,,,,,,,0.411987304688ms,0.860929489136ms,0.744104385376ms,0.859975814819ms,0.753879547119ms,0.627994537354ms,0.746965408325ms,0.627994537354ms,0.725984573364ms,0.686883926392ms,
,,,,,,,0.712871551514ms,0.988960266113ms,1.94191932678ms,1.16205215454ms,0.810146331787ms,0.788927078247ms,1.61385536194ms,1.16395950317ms,0.703096389771ms,0.706911087036ms,